id,sentiment
"""5814_8""",0.658662463
"""319_1""",0.079483564
"""11744_9""",0.915540624
"""12081_1""",0.068865623
"""4489_1""",0
"""3304_10""",0.856885789
"""2203_3""",0
"""6077_1""",0
"""7897_8""",1
"""9983_3""",0.133691811
"""4439_4""",0.219856112
"""8352_1""",0.18323895
"""10064_10""",1
"""6520_7""",0.994539525
"""10531_10""",1
"""2382_1""",0.292200557
"""9060_1""",0
"""5466_1""",0.221927243
"""10533_10""",1
"""1864_1""",0.183107291
"""2681_3""",0.318000195
"""5971_3""",0.047276733
"""11464_1""",0
"""2229_7""",0.369098886
"""10018_8""",0.796194677
"""12174_7""",0.644321681
"""6694_10""",0.9047771
"""5169_7""",0.820065394
"""4802_8""",1
"""11220_10""",1
"""5639_7""",0.805889426
"""1556_8""",1
"""2977_1""",0
"""6998_4""",0.275603048
"""3856_10""",1
"""1074_4""",0
"""8807_9""",0.862889244
"""6766_3""",0
"""11127_9""",0.899873872
"""1537_1""",0
"""4682_4""",0.142297448
"""12245_10""",0.837193377
"""9985_1""",0
"""3974_8""",0.851815684
"""4364_1""",0
"""9973_4""",0
"""1305_10""",0.806342525
"""7828_10""",0.902580055
"""4118_10""",1
"""8514_1""",0.128726288
"""2950_10""",0.862797283
"""5610_7""",0.593083742
"""8671_7""",0.628098206
"""6166_1""",0.362675813
"""8551_4""",0.241348381
"""8931_4""",0
"""5086_7""",0.544252116
"""365_1""",0
"""12456_3""",0
"""1583_8""",1
"""12003_4""",0.123011682
"""11228_10""",0.684230362
"""8791_1""",0.092378141
"""4451_9""",0.837009246
"""3210_3""",0.028123826
"""724_10""",0.988011118
"""6645_1""",0.208927672
"""12274_3""",0.120590916
"""10289_1""",0
"""4565_8""",0.901353394
"""11315_4""",0.468137668
"""9223_9""",0.815676168
"""11924_10""",0.859479416
"""5775_3""",0
"""6505_10""",0.557188942
"""1189_4""",0.465445798
"""9844_1""",0
"""1038_7""",0.667046824
"""7071_9""",1
"""1472_1""",0
"""10119_2""",0.085624637
"""1253_10""",0.749979566
"""9731_8""",1
