subject	Re: 谁给一个下载代理网址的网址？
from	you@mail.tsinghua.edu.cn
to	xie@ccert.edu.cn
202.194.73.5:1080 @SOCKS5# 10.6 09/06 17:32  山东建材学院(山东省) 
202.113.235.105:1080 @SOCKS5# 15.3 09/06 17:31  (南开大学) 
162.105.71.47:1080 @SOCKS5# 166.2 09/06 17:34  信息科学中心(北京大学) 
218.12.76.101:1080 @SOCKS5# 178.1 09/06 17:30  网通用户(河北省唐山市) 
202.102.239.179:1080 @SOCKS5# 180.4 09/06 17:30  网通用户(河南省郑州市) 
210.31.64.115:1080 @SOCKS5# 196.6 09/06 17:30  (北京师范大学) 
162.105.17.153:1080 @SOCKS5# 215.7 09/06 17:33  北阁/遥感所(北京大学) 
162.105.95.4:1080 @SOCKS5# 318.9 09/06 17:33  29/31楼(北京大学) 
202.38.250.11:1080 @SOCKS5# 361.5 09/06 17:32  东六(华南理工大学) 
202.38.244.41:1080 @SOCKS5# 434.9 09/06 17:30  研五(女生宿舍)(华南理工大学) 
219.72.230.2:1080 @SOCKS5# 646.1 09/06 17:31  (中国) 
61.144.139.198:1080 @SOCKS5# 722.1 09/06 17:32  ADSL用户(广东省广州市) 
61.130.37.117:1080 @SOCKS5# 1035.8 09/06 17:33  (浙江省嘉兴市) 
202.38.69.152:1080 @SOCKS5# 2114.2 09/06 17:33  化学材料学院(121楼),商学院(中国科学技术大学) 
218.244.98.94:1080 @SOCKS5# 3299.8 09/06 17:30  (山西省太原市) 
202.96.5.7:3128 @HTTP# 488.9 09/06 17:34  CHINANET-BJ(北京市) 
61.55.134.116:3128 @HTTP# 502.2 09/06 17:30  网通用户(河北省廊坊市) 
210.21.235.78:3128 @HTTP# 523.2 09/06 17:32  网通用户(广东省深圳市) 
166.111.214.65:3128 @HTTP# 556.0 09/06 16:38  学研大厦(创业园)(清华大学) 
162.105.125.38:3128 @HTTP# 570.5 09/06 16:41  方正集团(北京大学) 
162.105.146.56:3128 @HTTP# 573.9 09/06 16:42  (北京大学) 
140.113.94.241:3128 @HTTP# 589.0 09/06 16:41  (台湾省) 
218.25.251.169:3128 @HTTP# 591.3 09/06 17:34  (辽宁省) 
218.57.243.51:3128 @HTTP# 632.3 09/06 16:37  (山东省) 
202.127.182.103:8080 @HTTP# 805.0 09/06 17:35  (北京市) 
210.21.123.7:3128 @HTTP# 868.4 09/06 16:42  网通用户(广东省广州市) 
202.97.142.70:3128 @HTTP# 874.2 09/06 17:35  (山西省太原市) 
210.51.189.181:3128 @HTTP# 882.2 09/06 16:39  网通用户(北京市) 
219.142.111.69:8080 @HTTP# 902.1 09/06 17:31  电信用户(北京市) 
61.49.34.185:3128 @HTTP# 935.5 09/06 16:40  网通ADSL用户(北京市) 
     花刺用的那个
