subject	● 我要完美男朋友 ：）
from	yuan@runway.cn.net
to	mo@ccert.edu.cn
 应该是这个样子滴：
 * 有点害羞，但曾在分别的街头，大声说我爱你。 
　　* 同我去庙里求签，轻轻捉住我的手一同跪下。 
　　* 言而有信。 
　　* 从来不迟到——我迟到他不生气。 
　　* 拥抱很久、很紧——每次我起身时几乎是需要慢慢推开他。 
　　* 朦胧醒来轻呼我的名字——没有呼错。 
　　* 记得我的日期、鞋号、密码、最怕的事。 
　　* 我很怕虫子，见到虫子大声尖叫他不会笑我。 
　　* 雨后的早晨我去花园，用小树枝爬到路上来的蚯蚓送还草地——他在一边帮我。 
　　* 笑起来很像个坏蛋——其实不是。 
　　* 不舒服时，请假带我去看医生，回来路上买冰淇淋做奖励。 
　　* 开车绝不喝酒，让我系上安全带。 
　　* 常常帮助别人，不为什么。 
　　* 答应我：永远不。然后永远不。 
　　* 一边吹口哨一边修马桶。 
　　* 吵嘴时不会一走了之。 
　　* 错了会认错。 
　　* 常常说，有我呢。 
　　* 指甲整齐干净，喜欢我替他剪指甲。 
　　* 我做的菜他每样都爱吃，要求明天再做。 
　　* 小孩子都喜欢他，常常在楼下玩一裤子泥回来。 
　　* 轻轻拧开我拧不开的汽水瓶。 
　　* 忙时给我订机票，让我带父母一起出去玩。 
　　* 告诉我——24小时随时打电话。 
　　* 告诉我——不要省钱。 
　　* 偷偷买一件两人合穿的雨衣放在车上。 
　　* 我喜欢赤脚，他在副驾驶位脚下铺一小块羊绒毯。 
　　* 留言时画一个小老虎头当签名。 
　　* 说谎时结巴。 
　　* 与人争论听上去像是解释。 
　　* 教我滑旱冰，扶着我跑了快一千公里。 
　　* 他其实很早就对他的父母说起我…… 
　　* 喜欢运动，带我去招待女宾俱乐部。 
　　* 穿十年前的牛仔裤仍然合身。 
　　* 吃我吃剩的东西。 
　　* 她以前的女友有困难会来找他。没有困难则不会。 
　　* 重大的事情和我商量，比如明年的投资计划、周末野餐带不带烧烤架，晚饭吃大白菜还是小白菜。 
　　* 站在商店的洗手间外面等我。 
　　* 打电话嚷：我办公室的热带鱼生小鱼了！ 
　　* 和大人在一起像大人，和孩子在一起像孩子，和狗在一起像狗。 
　　* 喜欢我，从未犹豫，从不和别的女人比较。 
　　* 我买给他的东西都合他心，不转送他人。 
　　* 身上的味道很好闻，但他自己不知道。 
　　* 逛街回家，一只眼看电视球赛一只眼看我试新衣。 
　　* 对女人有风度，也有距离。 
　　* 很少叹气。 
　　* 真的可以随时找到他。 
　　* 和他在一起不怕死——也不害怕活下去，活到很老……
