subject	Re: 大家给推荐点关于律师啦陪审团啦之类打官司的片子吧
from	gao@aryasec.com
to	yi@ccert.edu.cn
1961    Judgment at Nuremberg
1962    To Kill a Mockingbird
1937    They Won\'t Forget
1959    Anatomy of a Murder
1939    Young Mr. Lincoln
1957    Witness for the Prosecution
1957    12 Angry Men
1984    A Soldier\'s Story
1984    A Passage to India
1966    A Man for All Seasons
1960    Inherit the Wind
1958    I Want to Live!
1980    Breaker Morant
1999    The Winslow Boy
1996    Primal Fear
1960    The Trials of Oscar Wilde
1993    In the Name of the Father
1959    Compulsion
1982    The Verdict
1991    Separate But Equal
1990    Reversal of Fortune
1976    The Lindbergh Kidnapping Case
1936    Fury
1951    Cry the Beloved Country
1988    A Cry in the Dark
1990    The Court Martial of Jackie Robinson
1988    The Caine Mutiny Court Martial
1954    The Caine Mutiny
1985    The Burning Bed
1988    The Accused
1993    Philadelphia
     不就是Courtroom Drama吗？我给你找个List，够你看的。
